Formatted Date,Temperature (C),Humidity,Wind Speed (km/h),Pressure (millibars),Six-hour ahead Temprature ©
10/09/2016,17.79,0.76,6.25,1016.26,16.04
10/09/2016,17.24,0.81,6.15,1016.16,17.09
10/09/2016,17.31,0.8,5.99,1016.06,18.76
10/09/2016,16.6,0.84,6.44,1015.98,22.13
10/09/2016,16.61,0.84,6.65,1015.97,24.95
10/09/2016,16.68,0.83,6.23,1015.77,27.54
10/09/2016,16.04,0.87,2.03,1015.96,28.91
10/09/2016,17.09,0.82,4.97,1016.35,31.04
10/09/2016,18.76,0.8,9.14,1016.36,29.85
10/09/2016,22.13,0.65,8.02,1016.45,28.98
10/09/2016,24.95,0.55,7.89,1016.54,28.94
10/09/2016,27.54,0.47,7.57,1016.3,27.75
10/09/2016,28.91,0.41,11.91,1016.23,27.73
10/09/2016,31.04,0.3,15.07,1015.81,24.95
10/09/2016,29.85,0.31,20.45,1015.66,23.49
10/09/2016,28.98,0.31,15.63,1015.58,22.53
10/09/2016,28.94,0.33,13.6,1015.2,21.37
10/09/2016,27.75,0.38,3.51,1015.2,21.31
10/09/2016,27.73,0.43,1.21,1015.01,20.79
10/09/2016,24.95,0.5,3.08,1014.93,19.28
10/09/2016,23.49,0.6,3.51,1015.52,18.9
10/09/2016,22.53,0.67,3.22,1015.86,19.29
10/09/2016,21.37,0.72,6.3,1016.04,19.73
10/09/2016,21.31,0.67,3.38,1016.14,19.02
11/09/2016,20.79,0.7,3.22,1016.25,19.75
11/09/2016,19.28,0.77,6.44,1016.16,19.8
11/09/2016,18.9,0.77,5.86,1015.96,20.93
11/09/2016,19.29,0.77,3.19,1015.86,24.86
11/09/2016,19.73,0.74,6.3,1015.76,27.13
11/09/2016,19.02,0.8,3.17,1016.03,28.54
11/09/2016,19.75,0.74,7.79,1016.15,28.98
11/09/2016,19.8,0.79,4.97,1016.17,29.01
11/09/2016,20.93,0.75,3.8,1016.52,30.15
11/09/2016,24.86,0.55,3.59,1016.75,30.14
11/09/2016,27.13,0.52,3.54,1017.24,32
11/09/2016,28.54,0.42,6.99,1017.27,30.43
11/09/2016,28.98,0.4,9.43,1017.18,28.66
11/09/2016,29.01,0.36,9.14,1017.14,24.86
11/09/2016,30.15,0.34,3.91,1016.92,23.98
11/09/2016,30.14,0.35,14.6,1016.34,21.04
11/09/2016,32,0.34,12.65,1016.43,19.91
11/09/2016,30.43,0.35,10.69,1016.38,19.13
11/09/2016,28.66,0.41,4.8,1016.55,18.22
11/09/2016,24.86,0.55,1.53,1016.55,17.15
11/09/2016,23.98,0.59,9.26,1017.64,17.03
11/09/2016,21.04,0.69,4.83,1017.94,16.14
11/09/2016,19.91,0.71,6.3,1018.14,16.12
11/09/2016,19.13,0.76,3.19,1018.25,16.35
12/09/2016,18.22,0.82,3.16,1018.36,15.14
12/09/2016,17.15,0.82,11.27,1018.65,17.21
12/09/2016,17.03,0.84,3.03,1018.65,20.78
12/09/2016,16.14,0.87,3.19,1018.45,22.78
12/09/2016,16.12,0.87,10.47,1018.35,26.11
12/09/2016,16.35,0.88,3.72,1018.44,28.41
12/09/2016,15.14,0.87,8.05,1018.46,29.93
12/09/2016,17.21,0.87,3.4,1018.75,31.04
12/09/2016,20.78,0.76,2.46,1019.03,31.77
12/09/2016,22.78,0.67,4.25,1019.13,30.71
12/09/2016,26.11,0.58,3.08,1019.33,29.76
12/09/2016,28.41,0.45,3.28,1019.16,29.28
12/09/2016,29.93,0.38,3.19,1018.84,26.25
12/09/2016,31.04,0.33,7.12,1018.54,24.83
12/09/2016,31.77,0.3,3.48,1018.09,23.42
12/09/2016,30.71,0.34,9.16,1017.46,22.53
12/09/2016,29.76,0.36,4.06,1017.18,21.92
